
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.100.34:50128   98.66.133.184:443      ESTABLISHED
  TCP    192.168.100.34:50157   34.149.200.141:443     ESTABLISHED
  TCP    192.168.100.34:50173   20.201.14.155:443      ESTABLISHED
  TCP    192.168.100.34:50176   149.154.167.91:443     ESTABLISHED
  TCP    192.168.100.34:50330   95.101.78.155:443      ESTABLISHED
  TCP    192.168.100.34:50417   34.160.10.162:443      ESTABLISHED
  TCP    192.168.100.34:50423   18.161.111.117:443     TIME_WAIT
  TCP    192.168.100.34:50434   52.97.201.34:443       TIME_WAIT
  TCP    192.168.100.34:50436   150.171.28.11:443      TIME_WAIT
  TCP    192.168.100.34:50437   74.242.255.116:443     ESTABLISHED
  TCP    192.168.100.34:50443   48.209.108.39:443      TIME_WAIT
  TCP    192.168.100.34:50446   40.99.217.130:443      TIME_WAIT
  TCP    192.168.100.34:50448   150.171.28.11:443      TIME_WAIT
  TCP    192.168.100.34:50450   150.171.28.11:443      TIME_WAIT
  TCP    192.168.100.34:50454   23.53.1.160:443        ESTABLISHED
  TCP    192.168.100.34:50456   150.171.27.12:443      ESTABLISHED
  TCP    192.168.100.34:50457   48.209.108.39:443      ESTABLISHED
  TCP    192.168.100.34:50458   13.107.246.42:443      ESTABLISHED
  TCP    192.168.100.34:50459   13.107.246.42:443      CLOSE_WAIT
  TCP    192.168.100.34:50462   20.189.173.28:443      ESTABLISHED
  TCP    192.168.100.34:50463   20.189.173.28:443      ESTABLISHED
  TCP    192.168.100.34:50464   20.189.173.28:443      ESTABLISHED
